"id","mode","original_png","svg_file","fidelity_status","carbon_style_status","non_carbon_hex_count"
"strobe_flow","targets-native-vector","outputs/figures/strobe_flow.png","docs/carbon-svg-figures/fig-01-strobe-flow.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"causal_dag","targets-native-vector","outputs/figures/causal_dag.png","docs/carbon-svg-figures/fig-02-causal-dag.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"smd_love_plot","targets-native-vector","outputs/figures/smd_love_plot.png","docs/carbon-svg-figures/fig-03-smd-love-plot.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"propensity_overlap","targets-native-vector","outputs/figures/propensity_overlap.png","docs/carbon-svg-figures/fig-04-propensity-overlap.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"ses_correlation_heatmap","targets-native-vector","outputs/figures/ses_correlation_heatmap.png","docs/carbon-svg-figures/fig-05-ses-correlation-heatmap.svg","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette",0
"missing_pattern_primary","missing-native-vector","outputs/figures/missing_pattern_primary.png","docs/carbon-svg-figures/fig-06-missing-pattern-primary.svg","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h1_forest","targets-native-vector","outputs/figures/h1_forest.png","docs/carbon-svg-figures/fig-07-h1-forest.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h1_three_way_emm","targets-native-vector","outputs/figures/h1_three_way_emm.png","docs/carbon-svg-figures/fig-08-h1-three-way-emm.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h2_apim_path","targets-native-vector","outputs/figures/h2_apim_path.png","docs/carbon-svg-figures/fig-09-h2-apim-path.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h3_stratified_forest","targets-native-vector","outputs/figures/h3_stratified_forest.png","docs/carbon-svg-figures/fig-10-h3-stratified-forest.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h4_sem_path","targets-native-vector","outputs/figures/h4_sem_path.png","docs/carbon-svg-figures/fig-11-h4-sem-path.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h5_ba_grid","targets-native-vector","outputs/figures/h5_ba_grid.png","docs/carbon-svg-figures/fig-12-h5-ba-grid.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"h5_rsa_surface","targets-native-vector","outputs/figures/h5_rsa_surface.png","docs/carbon-svg-figures/fig-13-h5-rsa-surface.svg","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette",0
"mediation_effects","targets-native-vector","outputs/figures/mediation_effects.png","docs/carbon-svg-figures/fig-14-mediation-effects.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"lpa_fit_indices","targets-native-vector","outputs/figures/lpa_fit_indices.png","docs/carbon-svg-figures/fig-15-lpa-fit-indices.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"network_graph","targets-native-vector","outputs/figures/network_graph.png","docs/carbon-svg-figures/fig-16-network-graph.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"network_nct","targets-native-vector","outputs/figures/network_nct.png","docs/carbon-svg-figures/fig-17-network-nct.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"clinical_roc","targets-native-vector","outputs/figures/clinical_roc.png","docs/carbon-svg-figures/fig-18-clinical-roc.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"clinical_dca","targets-native-vector","outputs/figures/clinical_dca.png","docs/carbon-svg-figures/fig-19-clinical-dca.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"clinical_calibration","targets-native-vector","outputs/figures/clinical_calibration.png","docs/carbon-svg-figures/fig-20-clinical-calibration.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"clinical_cart_rf","targets-native-vector","outputs/figures/clinical_cart_rf.png","docs/carbon-svg-figures/fig-21-clinical-cart-rf.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"specification_curve","targets-native-vector","outputs/figures/specification_curve.png","docs/carbon-svg-figures/fig-22-specification-curve.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"sensemakr_contour","targets-native-vector","outputs/figures/sensemakr_contour.png","docs/carbon-svg-figures/fig-23-sensemakr-contour.svg","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette",0
"bayesian_forest","targets-native-vector","outputs/figures/bayesian_forest.png","docs/carbon-svg-figures/fig-24-bayesian-forest.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"bayesian_diagnostics","targets-native-vector","outputs/figures/bayesian_diagnostics.png","docs/carbon-svg-figures/fig-25-bayesian-diagnostics.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"reliability","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-reliability-1.png","docs/carbon-svg-figures/psychval-01-reliability.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"floor","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-floor-1.png","docs/carbon-svg-figures/psychval-02-floor.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"cfa","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-cfa-1.png","docs/carbon-svg-figures/psychval-03-cfa.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"invariance","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-invariance-1.png","docs/carbon-svg-figures/psychval-04-invariance.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"icc","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-icc-1.png","docs/carbon-svg-figures/psychval-05-icc.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"validity","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-validity-1.png","docs/carbon-svg-figures/psychval-06-validity.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"multiverse","quarto-native-vector","_freeze/docs/analiz_planlari/PSIKOMETRIK-VALIDASYON-BUTUNLESIK-RAPOR/figure-pdf/fig-multiverse-1.png","docs/carbon-svg-figures/psychval-07-multiverse.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"grup-dagilim","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/grup-dagilim-1.png","docs/carbon-svg-figures/demo-01-grup-dagilim.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"cocuk-yas-dagilim","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/cocuk-yas-dagilim-1.png","docs/carbon-svg-figures/demo-02-cocuk-yas-dagilim.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"cinsiyet-grup","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/cinsiyet-grup-1.png","docs/carbon-svg-figures/demo-03-cinsiyet-grup.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"same-sex","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/same-sex-1.png","docs/carbon-svg-figures/demo-04-same-sex.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"aile-buyuklugu","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/aile-buyuklugu-1.png","docs/carbon-svg-figures/demo-05-aile-buyuklugu.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"anne-yas","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/anne-yas-1.png","docs/carbon-svg-figures/demo-06-anne-yas.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"beck-grup","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/beck-grup-1.png","docs/carbon-svg-figures/demo-07-beck-grup.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"beck-severity","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/beck-severity-1.png","docs/carbon-svg-figures/demo-08-beck-severity.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"antidep","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/antidep-1.png","docs/carbon-svg-figures/demo-09-antidep.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"ses-density","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/ses-density-1.png","docs/carbon-svg-figures/demo-10-ses-density.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"egitim","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/egitim-1.png","docs/carbon-svg-figures/demo-11-egitim.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"dm-eksik","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/dm-eksik-1.png","docs/carbon-svg-figures/demo-12-dm-eksik.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"hba1c","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/hba1c-1.png","docs/carbon-svg-figures/demo-13-hba1c.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"hba1c-target","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/hba1c-target-1.png","docs/carbon-svg-figures/demo-14-hba1c-target.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"dm-suresi","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/dm-suresi-1.png","docs/carbon-svg-figures/demo-15-dm-suresi.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"tani-strata","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/tani-strata-1.png","docs/carbon-svg-figures/demo-16-tani-strata.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"smd-love","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/smd-love-1.png","docs/carbon-svg-figures/demo-17-smd-love.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"ps-density","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/ps-density-1.png","docs/carbon-svg-figures/demo-18-ps-density.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"iptw-balance","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/iptw-balance-1.png","docs/carbon-svg-figures/demo-19-iptw-balance.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
"eksik-degisken","quarto-native-vector","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/eksik-degisken-1.png","docs/carbon-svg-figures/demo-20-eksik-degisken.svg","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette",0
